date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,college_cases,total_inmate_cases
2020-12-31,Adams,Illinois,17001.0,6582,82.0,0.18,0.092,0.189,0.19,0.35,277.0,1.0
2020-12-31,Alexander,Illinois,17003.0,341,7.0,0.11,0.082,0.148,0.262,0.398,,
2020-12-31,Bond,Illinois,17005.0,1554,16.0,0.07,0.055,0.108,0.218,0.549,205.0,774.0
2020-12-31,Boone,Illinois,17007.0,5070,72.0,0.025,0.006,0.065,0.244,0.66,,
2020-12-31,Brown,Illinois,17009.0,451,11.0,0.18,0.099,0.136,0.2,0.385,,213.0
2020-12-31,Bureau,Illinois,17011.0,2813,72.0,0.012,0.019,0.156,0.208,0.605,,
2020-12-31,Calhoun,Illinois,17013.0,381,4.0,0.082,0.06,0.219,0.366,0.273,,
2020-12-31,Carroll,Illinois,17015.0,1333,31.0,0.03,0.064,0.12,0.19,0.596,,547.0
2020-12-31,Cass,Illinois,17017.0,1586,29.0,0.103,0.08,0.19,0.187,0.441,,
2020-12-31,Champaign,Illinois,17019.0,13839,88.0,0.0,0.067,0.08,0.192,0.661,7089.0,29.0
2020-12-31,Christian,Illinois,17021.0,2600,66.0,0.059,0.057,0.091,0.19,0.603,,456.0
2020-12-31,Clark,Illinois,17023.0,1212,24.0,0.127,0.089,0.107,0.226,0.451,,
2020-12-31,Clay,Illinois,17025.0,1198,36.0,0.062,0.115,0.145,0.306,0.372,,
2020-12-31,Clinton,Illinois,17027.0,4485,80.0,0.102,0.063,0.083,0.166,0.587,129.0,131.0
2020-12-31,Coles,Illinois,17029.0,4294,71.0,0.112,0.055,0.201,0.221,0.411,802.0,6.0
2020-12-31,Cook,Illinois,17031.0,393652,8285.0,0.023,0.021,0.072,0.162,0.722,6281.0,1933.0
2020-12-31,Crawford,Illinois,17033.0,1578,31.0,0.146,0.196,0.047,0.219,0.392,,380.0
2020-12-31,Cumberland,Illinois,17035.0,937,25.0,0.095,0.075,0.194,0.212,0.424,,
2020-12-31,De Witt,Illinois,17039.0,915,25.0,0.035,0.106,0.073,0.28,0.507,,
2020-12-31,DeKalb,Illinois,17037.0,6768,81.0,0.007,0.012,0.034,0.191,0.756,,
2020-12-31,Douglas,Illinois,17041.0,1854,28.0,0.048,0.061,0.105,0.191,0.594,,
2020-12-31,DuPage,Illinois,17043.0,61805,1030.0,0.01,0.01,0.056,0.163,0.76,1074.0,0.0
2020-12-31,Edgar,Illinois,17045.0,1344,42.0,0.174,0.09,0.131,0.208,0.398,,
2020-12-31,Edwards,Illinois,17047.0,397,6.0,0.086,0.148,0.233,0.306,0.228,,
2020-12-31,Effingham,Illinois,17049.0,3860,57.0,0.072,0.072,0.214,0.232,0.41,,
2020-12-31,Fayette,Illinois,17051.0,2664,49.0,0.069,0.076,0.156,0.229,0.47,,497.0
2020-12-31,Ford,Illinois,17053.0,1227,43.0,0.011,0.082,0.167,0.172,0.567,,
2020-12-31,Franklin,Illinois,17055.0,3362,56.0,0.099,0.166,0.119,0.211,0.405,,
2020-12-31,Fulton,Illinois,17057.0,2342,31.0,0.016,0.03,0.311,0.199,0.444,,219.0
